id,inci_name
1,#NAME?
2,(-)-Alpha-Bisabolol
3,(Bergamot) Fruit Oil
4,(Bilberry) Extract
5,(Evening Primrose) Oil
6,(Jojoba) Seed Oil
7,(Mel) Honey
8,(Microcrystalline Cellulose
9,+/-: *Naturally Derived Fragrance
10,+Alchemilla Vulgaris Leaf Extract
11,+Fragrance
12,- Acrylates/C10-30 Alkyl Acrylate Crosspolymer
13,-100 Percent Pure Argan Oil: Nourishes and protects skin with essential fatty acids
14,-100 Percent Sugarcane-Derived Squalane
15,-4% Glycolic Acid Complex: Helps to exfoliate dead surface skin cells and helps stimulate cellular turnover. -Allantoin: Helps soothe and calm the skin. -Aloe Vera: Helps soothe and hydrate the skin. -2% Salicylic Acid (BHA): Helps loosen sebum within the pores and prevent future breakouts
16,-4MSK: Helps remove melanin trapped in dark spots and ion force complex works to slough off the surface cells that contain melanin
17,-AHAs (From Bluberry
18,-Amazonian clay: Provides total balancing for better
19,-Avobenzone 3%
20,-Black Bee Honey -Ouessant Honey: Repairs skin. -Guerlain Exclusive Royal Jelly: Nourishes skin. -Commiphora Oil: Renews skin
21,-Charcoal -Snow Lotus
22,-Charcoal: Acts like a magnet to draw out deep-dwelling pore-cloggers. -Apricot Kernel Oils: Quench compromised moisture reserves and help build a reservoir for tomorrow. -Willowherb: Fights dullness and discoloration
23,-Charcoal: Detoxifies. -Volcanic Pumice: Exfoliates. -Witch Hazel: Tones. SUPERMUD® Clearing Treatment: Water
24,-Coral Powder: Controls sebum and absorbs excess oil. -Sage Extract: Purifies skin. -Tea Tree Extract: Reduces redness. -Witch Hazel: Tightens pores. Step one: VP/VA Copolymer
25,-Cornflower Water: Revitalizes the appearance of eyelids and reduces the appearance of puffiness. -Micronized Powders: Illuminate and help diminish the look of dark circles. -Abyssinica Oil: Nourishes
26,-DermalQuench Liquid Lift™: Infuses the skin with three powerful ingredients in the advanced HydraFill Complex. -PFC-Oxygen Carriers: Helps plump the appearance of skin and minimizes the appearance of expression lines. -Fast-penetrating Hyaluronic Acid: Provides deep
27,-Essential Oil Blend and Lavender Essential Oil: Soothe redness and reduce skin blotchiness for a more even
28,-Essential Oils of Sage
29,-Ginseng -Olive Oil
30,-Glycolic Acid: Reduces the signs of aging. -Salicylic Acid: Reduces pore blockages and supports natural collagen. -Malic Acid: Supports natural cell renewal
31,-Glycolic Acid: Reduces visible signs of aging. -Salicylic Acid: Reduces pore blockages and supports natural collagen. -Mandelic Acid: Supplements the anti-aging benefits of glycolic acid and possesses anti-irritation and anti-redness properties. -Lactic Acid: A naturally occurring alpha hydroxy acid that supports natural cell renewal. -Citric Acid (AHA)
32,-Haberlea Leaf Extract: Supports the natural production of ingredients essential to its beauty. -French Mallow: Supports natural aquaporin synthesis to invigorate water circulation. -Natural Fruit Extracts
33,-Heilmoor Clay: Tones and detoxifies the skin. -Virgin Marula Oil: Hydrates
34,-Homosalate 10%
35,-Hyaluronic Acid -Ceramide
36,-Hyaluronic Acid -Red Algae
37,-Hydrocolloid Bandage: Absorbs sebum
38,-ImuGeneration Technology: Features botanical extracts of reishi mushroom and iris root to continuously fortify skin’s ability to defend itself. -Exclusive Ultimune Complex™ (Bulgarian Rose Water
39,-Jisten (Transversal Technology): LVMH patent
40,-Lactic Acid: Gently exfoliates skin. -Carrot Seed Oil: Balances skin while fighting age spots and sun damage. -Vitamin C: Reduces the look of dark spots and lightens skin. Step 1 Peel: PEG-8
41,-Lactic Acid: Supports natural cell turnover and cell renewal. -Mandelic Acid: Possesses anti-irritation an anti-redness properties. -Willow Bark Extract: Gently exfoliates and clears pores (contains salicylic acid). -Colloidal Oatmeal: Acts as an anti-irritant and anti-inflammatory. Step One: Water
42,-Liquid Extract from Akoya Pearls: A naturally-derived anti-glycation ingredient that helps to reduce the intrinsic signs of aging and fatigue around the eye area associated with A.G.E.; works to address dark circles and fine lines and wrinkles by supporting natural collagen production and inhibiting hyperpigmentation; boosted by niacinamide
43,-Magnesium Carbonate: Regulates skin's pH levels while maintaining a clear complexion. -Allantoin: A healing and soothing botanical extract
44,-Meadowfoam Seed Oil: A unique fatty acid
45,-Moisturizing Agent: Plumps the skin. -Biomimetic Mica and Soft-Focus Optical Effect Powders: Blur imperfections. -Boosted Longoza: Restores density and radiance. -Opilia: Reduces the appearance of pores and imperfections
46,-Natural Abaca Tree Fiber: Absorbs oil and perspiration. -Peppermint Extract: Provides refreshing
47,-Natural Pink Clay: Mattifies. -Jojoba Extract: Hydrates
48,-Natural White Pine Oil: Comforts and soothes. -Balanced Botanical Blend Including Shea butter and Jojoba: Nourishes the skin
49,-Nutrex EGF -Epidermosil™ -Eye Regener™ -Diamond Powder Water
50,-Octinoxate (7.4%) and Zinc Oxide (9.6%): Protect skin against sun damage
51,-Octinoxate 7.50%
52,-Pearl Extract -Niacinamide
53,-Pepha® (derived from watermelon extract): Protects skin cells against daily stress. - Vitasource™ and dGlyage®: Firm the appearance of skin
54,-Pumpkin: Packed with fruit enzymes
55,-Pure Ferulic Acid -Pure Vitamin E -Centella Asiatica Blue Concentrate: Dipropylene Glycol
56,-Red Wine Extract: Increases skin’s natural cell turnover and fights free radicals. -Black Bee Propolis: Soothes and calms. -Black Truffle Extract: Creates visibly plumper
57,-Retinol: Helps smooth wrinkles and lines while increasing moisture and elasticity. -Licorice Root Extract: Lightens and is an anti-inflammatory. -Colloidal Sulfur: Reduces acne blemishes and absorbs oil. -Bentonite: A naturally occuring white clay that helps absorb oil and mattify. -Prickly Pear: Calms redness and irritation
58,-Retinol: Reduces the appearance of fine lines and wrinkles
59,-Rose Apple Leaf Extract: Counteracts oxidation
60,-Rose Water -Caffeine-infused
61,-Salicylic Acid 0.5%: Dissolves pore congestion and fights acne-causing bacteria. -Vitamin A 0.5%: Promotes skin turnover and prevents clogged pores. -Aloe Vera 0.5%: Calms and cools redness and irritation. -Hydrocolloid Dressing: Extracts impurities while creating a protective barrier that guards again external irritants
62,-Semen Benincasae Herb: Creates a foamy texture with natural foaming agents and soothing properties as it conditions
63,-Silicone Wrap: Creates a hydrating climate for intense moisture. -Epidermal Growth Factor: Increases cell renewal. -Plant Stem Cells: Assist in fighting free-radicals and sun damage. -Hyaluronic Acid: Moisturizes the skin and promotes enhanced volume. EGF Botanical Complex: Water
64,-Spirulina Maxima: Supports natural collagen renewal for a firmer appearance. -Pullulan: Soothes and balances skin’s moisture levels. -Provitamin B5 (Panthenol): Defends against water loss to keep skin soft and smooth. -Comfrey Root. Liquid: Water
65,-TEAOXI® Complex (Licorice and Marshmallow Leaf): Creates a firmer-looking complexion. -Vizitight (Firming Matrix
66,-Titanium Dioxide 3.55%: Sunscreen. -Octinoxate 3.74%: Sunscreen. -Oxybenzone 1%: Sunscreen
67,-Vitamin A (retinol): Helps firm skin for a powerful anti-aging effect. -OxyForce™ Cellular Active (Perfluorodecalin): Helps support natural collagen synthesis
68,-Vitamin B5 (Panthenol): Moisturizes and maintains skin’s moisture retention. -Baobab Tree Leaf Extract: Rich in vitamins to help moisturize and provide antioxidant protection. -Expert Moist Complex: Rich in amino acids to enhance moisture retention in and strengthen skin’s moisture barrier. STEP 01 Super Booster: Cetyl Ethylhexanoate
69,-Vitamin C (Ascorbic Acid): Brightens the look of skin tone and texture. -Sea Buckthorn Fruit Extract: Is rich in vitamins to help provide an antioxidant effect and brighten skin tone. -Grapefruit Extract: Smooths
70,-Vitamin K3 (menadione): Comfortably restores sensitive skin with a soothing effect. -Guava Leaf Extract: Rich in antioxidant vitamins that provide a protective
71,-Wild Rose Oil: Helps improve the appearance of fine lines and even skin tone for a smooth
